observed_at,ambient_c,wind_kph,target
2025-03-01T00:00:00Z,11.988,8.024,10.261
2025-03-01T00:15:00Z,12.583,7.764,10.790
2025-03-01T00:30:00Z,12.651,7.653,10.950
2025-03-01T00:45:00Z,13.158,8.347,11.452
2025-03-01T01:00:00Z,13.109,7.717,11.407
2025-03-01T01:15:00Z,13.579,8.077,11.637
2025-03-01T01:30:00Z,13.692,7.788,11.573
2025-03-01T01:45:00Z,14.472,7.762,12.508
2025-03-01T02:00:00Z,14.483,7.711,12.207
2025-03-01T02:15:00Z,14.913,7.430,12.745
2025-03-01T02:30:00Z,14.897,7.684,12.684
2025-03-01T02:45:00Z,14.933,7.730,12.831
2025-03-01T03:00:00Z,15.464,7.581,13.148
2025-03-01T03:15:00Z,15.812,7.736,13.493
2025-03-01T03:30:00Z,15.455,7.019,13.120
2025-03-01T03:45:00Z,15.836,6.987,13.184
2025-03-01T04:00:00Z,15.850,7.446,13.596
2025-03-01T04:15:00Z,15.729,7.300,13.488
2025-03-01T04:30:00Z,15.853,6.801,13.534
2025-03-01T04:45:00Z,16.149,6.512,13.636
2025-03-01T05:00:00Z,16.267,6.428,13.652
2025-03-01T05:15:00Z,16.219,6.896,13.673
2025-03-01T05:30:00Z,15.577,6.662,13.168
2025-03-01T05:45:00Z,16.033,6.759,13.676
2025-03-01T06:00:00Z,15.485,6.111,13.004
2025-03-01T06:15:00Z,15.571,6.585,12.989
2025-03-01T06:30:00Z,15.452,5.818,13.018
2025-03-01T06:45:00Z,15.033,5.574,12.781
2025-03-01T07:00:00Z,14.789,6.238,12.446
2025-03-01T07:15:00Z,14.730,5.698,12.252
2025-03-01T07:30:00Z,14.130,5.624,11.857
2025-03-01T07:45:00Z,13.876,5.351,11.475
2025-03-01T08:00:00Z,13.980,5.619,11.649
2025-03-01T08:15:00Z,13.230,5.176,11.177
2025-03-01T08:30:00Z,13.483,5.078,11.449
2025-03-01T08:45:00Z,12.615,5.334,10.686
2025-03-01T09:00:00Z,12.827,4.792,10.863
2025-03-01T09:15:00Z,12.156,5.220,10.346
2025-03-01T09:30:00Z,11.878,5.120,10.151
2025-03-01T09:45:00Z,11.402,4.980,9.482
2025-03-01T10:00:00Z,11.048,4.977,9.332
