input_a,input_b,target_a,target_b
2024-01-01T00:00:00Z,2024-01-08T05:00:00Z,20.000000,23.000000
2024-01-02T03:00:00Z,2024-01-09T08:00:00Z,20.499167,23.499167
2024-01-03T06:00:00Z,2024-01-10T11:00:00Z,20.993347,23.993347
2024-01-04T09:00:00Z,2024-01-11T14:00:00Z,21.477601,24.477601
2024-01-05T12:00:00Z,2024-01-12T17:00:00Z,21.947092,24.947092
2024-01-06T15:00:00Z,2024-01-13T20:00:00Z,22.397128,25.397128
2024-01-07T18:00:00Z,2024-01-14T23:00:00Z,22.823212,25.823212
2024-01-08T21:00:00Z,2024-01-15T02:00:00Z,23.221088,26.221088
2024-01-09T00:00:00Z,2024-01-16T05:00:00Z,23.586780,26.586780
2024-01-10T03:00:00Z,2024-01-17T08:00:00Z,23.916635,26.916635
2024-01-11T06:00:00Z,2024-01-18T11:00:00Z,24.207355,27.207355
2024-01-12T09:00:00Z,2024-01-19T14:00:00Z,24.456037,27.456037
2024-01-13T12:00:00Z,2024-01-20T17:00:00Z,24.660195,27.660195
2024-01-14T15:00:00Z,2024-01-21T20:00:00Z,24.817791,27.817791
2024-01-15T18:00:00Z,2024-01-22T23:00:00Z,24.927249,27.927249
2024-01-16T21:00:00Z,2024-01-23T02:00:00Z,24.987475,27.987475
2024-01-17T00:00:00Z,2024-01-24T05:00:00Z,24.997868,27.997868
2024-01-18T03:00:00Z,2024-01-25T08:00:00Z,24.958324,27.958324
2024-01-19T06:00:00Z,2024-01-26T11:00:00Z,24.869238,27.869238
2024-01-20T09:00:00Z,2024-01-27T14:00:00Z,24.731500,27.731500
2024-01-21T12:00:00Z,2024-01-28T17:00:00Z,24.546487,27.546487
2024-01-22T15:00:00Z,2024-01-01T20:00:00Z,24.316047,27.316047
2024-01-23T18:00:00Z,2024-01-02T23:00:00Z,24.042482,27.042482
2024-01-24T21:00:00Z,2024-01-03T02:00:00Z,23.728526,26.728526
2024-01-25T00:00:00Z,2024-01-04T05:00:00Z,23.377316,26.377316
2024-01-26T03:00:00Z,2024-01-05T08:00:00Z,22.992361,25.992361
2024-01-27T06:00:00Z,2024-01-06T11:00:00Z,22.577507,25.577507
2024-01-28T09:00:00Z,2024-01-07T14:00:00Z,22.136899,25.136899
2024-01-01T12:00:00Z,2024-01-08T17:00:00Z,21.674941,24.674941
2024-01-02T15:00:00Z,2024-01-09T20:00:00Z,21.196247,24.196247
2024-01-03T18:00:00Z,2024-01-10T23:00:00Z,20.705600,23.705600
2024-01-04T21:00:00Z,2024-01-11T02:00:00Z,20.207903,23.207903
2024-01-05T00:00:00Z,2024-01-12T05:00:00Z,19.708129,22.708129
2024-01-06T03:00:00Z,2024-01-13T08:00:00Z,19.211272,22.211272
2024-01-07T06:00:00Z,2024-01-14T11:00:00Z,18.722294,21.722294
2024-01-08T09:00:00Z,2024-01-15T14:00:00Z,18.246084,21.246084
2024-01-09T12:00:00Z,2024-01-16T17:00:00Z,17.787398,20.787398
2024-01-10T15:00:00Z,2024-01-17T20:00:00Z,17.350819,20.350819
2024-01-11T18:00:00Z,2024-01-18T23:00:00Z,16.940711,19.940711
2024-01-12T21:00:00Z,2024-01-19T02:00:00Z,16.561169,19.561169
2024-01-13T00:00:00Z,2024-01-20T05:00:00Z,16.215988,19.215988
2024-01-14T03:00:00Z,2024-01-21T08:00:00Z,15.908614,18.908614
2024-01-15T06:00:00Z,2024-01-22T11:00:00Z,15.642121,18.642121
2024-01-16T09:00:00Z,2024-01-23T14:00:00Z,15.419170,18.419170
2024-01-17T12:00:00Z,2024-01-24T17:00:00Z,15.241990,18.241990
2024-01-18T15:00:00Z,2024-01-25T20:00:00Z,15.112349,18.112349
2024-01-19T18:00:00Z,2024-01-26T23:00:00Z,15.031545,18.031545
2024-01-20T21:00:00Z,2024-01-27T02:00:00Z,15.000384,18.000384
2024-01-21T00:00:00Z,2024-01-28T05:00:00Z,15.019177,18.019177
2024-01-22T03:00:00Z,2024-01-01T08:00:00Z,15.087737,18.087737
2024-01-23T06:00:00Z,2024-01-02T11:00:00Z,15.205379,18.205379
2024-01-24T09:00:00Z,2024-01-03T14:00:00Z,15.370927,18.370927
2024-01-25T12:00:00Z,2024-01-04T17:00:00Z,15.582727,18.582727
2024-01-26T15:00:00Z,2024-01-05T20:00:00Z,15.838663,18.838663
2024-01-27T18:00:00Z,2024-01-06T23:00:00Z,16.136178,19.136178
2024-01-28T21:00:00Z,2024-01-07T02:00:00Z,16.472298,19.472298
2024-01-01T00:00:00Z,2024-01-08T05:00:00Z,16.843667,19.843667
2024-01-02T03:00:00Z,2024-01-09T08:00:00Z,17.246572,20.246572
2024-01-03T06:00:00Z,2024-01-10T11:00:00Z,17.676989,20.676989
2024-01-04T09:00:00Z,2024-01-11T14:00:00Z,18.130617,21.130617
2024-01-05T12:00:00Z,2024-01-12T17:00:00Z,18.602923,21.602923
2024-01-06T15:00:00Z,2024-01-13T20:00:00Z,19.089187,22.089187
2024-01-07T18:00:00Z,2024-01-14T23:00:00Z,19.584553,22.584553
2024-01-08T21:00:00Z,2024-01-15T02:00:00Z,20.084070,23.084070
2024-01-09T00:00:00Z,2024-01-16T05:00:00Z,20.582746,23.582746
2024-01-10T03:00:00Z,2024-01-17T08:00:00Z,21.075600,24.075600
2024-01-11T06:00:00Z,2024-01-18T11:00:00Z,21.557707,24.557707
2024-01-12T09:00:00Z,2024-01-19T14:00:00Z,22.024250,25.024250
2024-01-13T12:00:00Z,2024-01-20T17:00:00Z,22.470567,25.470567
2024-01-14T15:00:00Z,2024-01-21T20:00:00Z,22.892199,25.892199
2024-01-15T18:00:00Z,2024-01-22T23:00:00Z,23.284933,26.284933
2024-01-16T21:00:00Z,2024-01-23T02:00:00Z,23.644845,26.644845
2024-01-17T00:00:00Z,2024-01-24T05:00:00Z,23.968339,26.968339
2024-01-18T03:00:00Z,2024-01-25T08:00:00Z,24.252183,27.252183
2024-01-19T06:00:00Z,2024-01-26T11:00:00Z,24.493540,27.493540
2024-01-20T09:00:00Z,2024-01-27T14:00:00Z,24.690000,27.690000
2024-01-21T12:00:00Z,2024-01-28T17:00:00Z,24.839598,27.839598
2024-01-22T15:00:00Z,2024-01-01T20:00:00Z,24.940841,27.940841
2024-01-23T18:00:00Z,2024-01-02T23:00:00Z,24.992717,27.992717
2024-01-24T21:00:00Z,2024-01-03T02:00:00Z,24.994707,27.994707
2024-01-25T00:00:00Z,2024-01-04T05:00:00Z,24.946791,27.946791
2024-01-26T03:00:00Z,2024-01-05T08:00:00Z,24.849449,27.849449
2024-01-27T06:00:00Z,2024-01-06T11:00:00Z,24.703653,27.703653
2024-01-28T09:00:00Z,2024-01-07T14:00:00Z,24.510859,27.510859
2024-01-01T12:00:00Z,2024-01-08T17:00:00Z,24.272995,27.272995
2024-01-02T15:00:00Z,2024-01-09T20:00:00Z,23.992436,26.992436
2024-01-03T18:00:00Z,2024-01-10T23:00:00Z,23.671985,26.671985
2024-01-04T21:00:00Z,2024-01-11T02:00:00Z,23.314846,26.314846
2024-01-05T00:00:00Z,2024-01-12T05:00:00Z,22.924586,25.924586
2024-01-06T03:00:00Z,2024-01-13T08:00:00Z,22.505104,25.505104
2024-01-07T06:00:00Z,2024-01-14T11:00:00Z,22.060592,25.060592
2024-01-08T09:00:00Z,2024-01-15T14:00:00Z,21.595492,24.595492
2024-01-09T12:00:00Z,2024-01-16T17:00:00Z,21.114450,24.114450
2024-01-10T15:00:00Z,2024-01-17T20:00:00Z,20.622272,23.622272
2024-01-11T18:00:00Z,2024-01-18T23:00:00Z,20.123877,23.123877
2024-01-12T21:00:00Z,2024-01-19T02:00:00Z,19.624244,22.624244
2024-01-13T00:00:00Z,2024-01-20T05:00:00Z,19.128366,22.128366
2024-01-14T03:00:00Z,2024-01-21T08:00:00Z,18.641197,21.641197
2024-01-15T06:00:00Z,2024-01-22T11:00:00Z,18.167604,21.167604
2024-01-16T09:00:00Z,2024-01-23T14:00:00Z,17.712321,20.712321
2024-01-17T12:00:00Z,2024-01-24T17:00:00Z,17.279894,20.279894
2024-01-18T15:00:00Z,2024-01-25T20:00:00Z,16.874647,19.874647
