observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-01T00:00:00Z,11.845,7.919,10.410,7.067
2025-03-01T00:15:00Z,12.322,7.665,10.468,7.199
2025-03-01T00:30:00Z,12.632,7.621,10.746,7.377
2025-03-01T00:45:00Z,13.267,7.768,11.247,8.419
2025-03-01T01:00:00Z,13.171,7.938,11.138,
2025-03-01T01:15:00Z,13.392,8.256,11.553,8.159
2025-03-01T01:30:00Z,13.984,7.731,12.061,9.176
2025-03-01T01:45:00Z,14.336,7.559,12.294,9.458
2025-03-01T02:00:00Z,14.500,8.064,12.284,9.678
2025-03-01T02:15:00Z,14.983,8.082,12.777,10.105
2025-03-01T02:30:00Z,15.163,8.059,13.008,10.098
2025-03-01T02:45:00Z,15.116,7.241,12.726,10.306
2025-03-01T03:00:00Z,15.617,7.438,13.232,10.423
2025-03-01T03:15:00Z,15.670,7.125,13.427,10.535
2025-03-01T03:30:00Z,15.755,7.235,13.385,10.751
2025-03-01T03:45:00Z,15.503,7.469,13.176,
2025-03-01T04:00:00Z,16.017,6.939,13.646,10.889
2025-03-01T04:15:00Z,15.763,7.017,13.397,10.964
2025-03-01T04:30:00Z,15.728,7.106,13.176,10.723
2025-03-01T04:45:00Z,16.227,6.558,13.757,10.998
2025-03-01T05:00:00Z,16.059,6.564,13.390,10.932
2025-03-01T05:15:00Z,15.656,6.439,13.059,10.903
2025-03-01T05:30:00Z,15.773,6.305,13.116,10.663
2025-03-01T05:45:00Z,16.037,6.210,13.643,10.901
2025-03-01T06:00:00Z,15.934,6.523,13.443,11.023
2025-03-01T06:15:00Z,15.493,6.176,12.948,10.760
2025-03-01T06:30:00Z,15.517,5.927,13.121,
2025-03-01T06:45:00Z,15.211,5.903,12.907,10.161
2025-03-01T07:00:00Z,14.756,5.733,12.540,10.017
2025-03-01T07:15:00Z,14.538,5.413,12.142,9.358
2025-03-01T07:30:00Z,14.494,5.738,12.052,9.646
2025-03-01T07:45:00Z,13.994,5.441,11.566,8.929
2025-03-01T08:00:00Z,13.842,5.354,11.784,9.137
2025-03-01T08:15:00Z,13.464,5.216,11.122,8.604
2025-03-01T08:30:00Z,13.179,5.252,11.253,7.940
2025-03-01T08:45:00Z,12.728,4.794,10.524,7.950
2025-03-01T09:00:00Z,12.283,4.613,10.424,7.405
2025-03-01T09:15:00Z,12.159,4.793,10.076,
2025-03-01T09:30:00Z,11.674,4.923,9.839,6.791
2025-03-01T09:45:00Z,11.537,4.765,9.748,6.607
2025-03-01T10:00:00Z,11.518,4.198,9.679,6.487
2025-03-01T10:15:00Z,10.677,4.563,9.160,5.787
2025-03-01T10:30:00Z,10.462,4.075,8.660,5.606
2025-03-01T10:45:00Z,10.166,4.523,8.633,5.307
2025-03-01T11:00:00Z,9.765,4.366,8.075,4.734
2025-03-01T11:15:00Z,9.705,3.917,8.234,4.656
2025-03-01T11:30:00Z,9.653,4.367,8.109,4.901
2025-03-01T11:45:00Z,9.036,4.191,7.493,3.838
2025-03-01T12:00:00Z,8.945,4.483,7.667,
2025-03-01T12:15:00Z,8.934,4.304,7.712,3.993
2025-03-01T12:30:00Z,8.329,3.983,7.143,3.432
2025-03-01T12:45:00Z,8.197,3.782,6.936,3.292
