observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-01T00:00:00Z,12.000,10.000,12.288,5.688
2025-03-01T00:15:00Z,12.589,9.991,12.921,6.442
2025-03-01T00:30:00Z,13.175,9.966,13.430,7.080
2025-03-01T00:45:00Z,13.756,9.923,13.603,7.389
2025-03-01T01:00:00Z,14.329,9.864,13.507,7.434
2025-03-01T01:15:00Z,14.893,9.788,14.645,8.719
2025-03-01T01:30:00Z,15.444,9.696,14.467,8.693
2025-03-01T01:45:00Z,15.981,9.587,15.056,9.438
2025-03-01T02:00:00Z,16.500,9.464,15.710,10.252
2025-03-01T02:15:00Z,17.000,9.326,15.470,10.174
2025-03-01T02:30:00Z,17.479,9.173,16.138,11.006
2025-03-01T02:45:00Z,17.934,9.007,16.142,11.175
2025-03-01T03:00:00Z,18.364,8.828,16.690,11.890
2025-03-01T03:15:00Z,18.767,8.637,17.270,12.637
2025-03-01T03:30:00Z,19.140,8.435,17.390,12.923
2025-03-01T03:45:00Z,19.483,8.222,17.218,12.915
2025-03-01T04:00:00Z,19.794,8.000,17.819,13.677
2025-03-01T04:15:00Z,20.072,7.769,18.166,14.184
2025-03-01T04:30:00Z,20.315,7.531,17.991,14.165
2025-03-01T04:45:00Z,20.522,7.286,18.512,14.838
2025-03-01T05:00:00Z,20.693,7.035,18.381,14.854
2025-03-01T05:15:00Z,20.827,6.780,18.637,15.251
2025-03-01T05:30:00Z,20.923,6.522,18.275,15.024
2025-03-01T05:45:00Z,20.981,6.262,18.145,15.024
2025-03-01T06:00:00Z,21.000,6.000,18.008,15.008
2025-03-01T06:15:00Z,20.981,5.738,18.644,15.758
2025-03-01T06:30:00Z,20.923,5.478,17.782,15.002
2025-03-01T06:45:00Z,20.827,5.220,17.914,15.230
2025-03-01T07:00:00Z,20.693,4.965,17.430,14.835
2025-03-01T07:15:00Z,20.522,4.714,17.592,15.075
2025-03-01T07:30:00Z,20.315,4.469,17.257,
2025-03-01T07:45:00Z,20.072,4.231,17.103,14.713
2025-03-01T08:00:00Z,19.794,4.000,17.219,14.878
2025-03-01T08:15:00Z,19.483,3.778,16.774,14.471
2025-03-01T08:30:00Z,19.140,3.565,16.145,13.868
2025-03-01T08:45:00Z,18.767,3.363,15.717,13.457
2025-03-01T09:00:00Z,18.364,3.172,15.026,
2025-03-01T09:15:00Z,17.934,2.993,14.778,12.518
2025-03-01T09:30:00Z,17.479,2.827,15.162,12.886
2025-03-01T09:45:00Z,17.000,2.674,14.568,12.265
2025-03-01T10:00:00Z,16.500,2.536,14.015,11.674
2025-03-01T10:15:00Z,15.981,2.413,13.783,11.394
2025-03-01T10:30:00Z,15.444,2.304,13.233,10.784
2025-03-01T10:45:00Z,14.893,2.212,12.283,9.766
2025-03-01T11:00:00Z,14.329,2.136,12.268,9.672
2025-03-01T11:15:00Z,13.756,2.077,11.781,9.098
2025-03-01T11:30:00Z,13.175,2.034,11.517,
2025-03-01T11:45:00Z,12.589,2.009,10.629,7.743
2025-03-01T12:00:00Z,12.000,2.000,10.013,7.013
2025-03-01T12:15:00Z,11.411,2.009,9.479,6.358
2025-03-01T12:30:00Z,10.825,2.034,9.076,5.826
2025-03-01T12:45:00Z,10.244,2.077,8.635,5.249
2025-03-01T13:00:00Z,9.671,2.136,8.321,4.794
2025-03-01T13:15:00Z,9.107,2.212,7.927,4.253
2025-03-01T13:30:00Z,8.556,2.304,7.898,
2025-03-01T13:45:00Z,8.019,2.413,7.374,3.392
2025-03-01T14:00:00Z,7.500,2.536,6.936,2.794
2025-03-01T14:15:00Z,7.000,2.674,5.852,1.549
2025-03-01T14:30:00Z,6.521,2.827,5.703,1.236
2025-03-01T14:45:00Z,6.066,2.993,5.365,0.731
2025-03-01T15:00:00Z,5.636,3.172,5.548,0.748
2025-03-01T15:15:00Z,5.233,3.363,4.907,-0.059
2025-03-01T15:30:00Z,4.860,3.565,5.090,-0.042
2025-03-01T15:45:00Z,4.517,3.778,5.003,-0.293
2025-03-01T16:00:00Z,4.206,4.000,4.143,-1.316
2025-03-01T16:15:00Z,3.928,4.231,4.695,-0.923
2025-03-01T16:30:00Z,3.685,4.469,3.982,-1.792
2025-03-01T16:45:00Z,3.478,4.714,3.834,-2.092
2025-03-01T17:00:00Z,3.307,4.965,3.431,-2.641
2025-03-01T17:15:00Z,3.173,5.220,3.500,-2.714
2025-03-01T17:30:00Z,3.077,5.478,4.310,-2.040
2025-03-01T17:45:00Z,3.019,5.738,3.542,-2.937
2025-03-01T18:00:00Z,3.000,6.000,3.877,-2.723
2025-03-01T18:15:00Z,3.019,6.262,4.253,-2.461
2025-03-01T18:30:00Z,3.077,6.522,4.128,-2.691
2025-03-01T18:45:00Z,3.173,6.780,4.637,-2.279
2025-03-01T19:00:00Z,3.307,7.035,4.023,-2.982
2025-03-01T19:15:00Z,3.478,7.286,4.522,-2.561
2025-03-01T19:30:00Z,3.685,7.531,4.941,-2.211
2025-03-01T19:45:00Z,3.928,7.769,4.672,
2025-03-01T20:00:00Z,4.206,8.000,5.052,-2.207
2025-03-01T20:15:00Z,4.517,8.222,6.065,-1.231
2025-03-01T20:30:00Z,4.860,8.435,5.847,-1.477
2025-03-01T20:45:00Z,5.233,8.637,6.391,-0.949
2025-03-01T21:00:00Z,5.636,8.828,6.929,-0.416
2025-03-01T21:15:00Z,6.066,9.007,6.960,
2025-03-01T21:30:00Z,6.521,9.173,7.258,-0.066
2025-03-01T21:45:00Z,7.000,9.326,8.004,0.707
2025-03-01T22:00:00Z,7.500,9.464,8.026,0.767
2025-03-01T22:15:00Z,8.019,9.587,8.705,1.495
2025-03-01T22:30:00Z,8.556,9.696,8.878,1.726
2025-03-01T22:45:00Z,9.107,9.788,10.171,3.088
2025-03-01T23:00:00Z,9.671,9.864,9.798,2.793
2025-03-01T23:15:00Z,10.244,9.923,10.232,3.316
2025-03-01T23:30:00Z,10.825,9.966,10.674,3.854
2025-03-01T23:45:00Z,11.411,9.991,11.312,4.598
2025-03-02T00:00:00Z,12.000,10.000,11.753,5.153
2025-03-02T00:15:00Z,12.589,9.991,12.872,6.394
2025-03-02T00:30:00Z,13.175,9.966,13.199,6.850
2025-03-02T00:45:00Z,13.756,9.923,13.277,7.063
2025-03-02T01:00:00Z,14.329,9.864,13.759,7.686
2025-03-02T01:15:00Z,14.893,9.788,13.891,7.965
2025-03-02T01:30:00Z,15.444,9.696,14.638,8.864
