observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-01T00:00:00Z,11.999,7.957,10.241,7.187
2025-03-01T00:15:00Z,12.090,8.143,10.673,7.208
2025-03-01T00:30:00Z,12.558,7.779,10.876,7.335
2025-03-01T00:45:00Z,13.177,8.117,11.488,8.434
2025-03-01T01:00:00Z,13.174,7.755,11.203,
2025-03-01T01:15:00Z,13.814,8.250,11.806,8.647
2025-03-01T01:30:00Z,14.155,8.190,12.178,9.233
2025-03-01T01:45:00Z,13.991,7.484,12.119,9.139
2025-03-01T02:00:00Z,14.566,7.516,12.523,9.458
2025-03-01T02:15:00Z,14.505,7.772,12.299,9.576
2025-03-01T02:30:00Z,15.024,7.348,12.562,10.024
2025-03-01T02:45:00Z,14.966,7.510,12.796,9.735
2025-03-01T03:00:00Z,15.430,7.651,13.264,10.372
2025-03-01T03:15:00Z,15.627,7.695,13.115,10.559
2025-03-01T03:30:00Z,15.638,7.188,13.319,10.429
2025-03-01T03:45:00Z,15.740,7.018,13.482,
2025-03-01T04:00:00Z,16.152,6.872,13.432,10.969
2025-03-01T04:15:00Z,15.749,6.860,13.130,11.046
2025-03-01T04:30:00Z,15.744,7.229,13.409,11.012
2025-03-01T04:45:00Z,15.702,7.094,13.181,10.661
2025-03-01T05:00:00Z,16.268,6.579,13.475,11.106
2025-03-01T05:15:00Z,15.849,6.694,13.435,10.996
2025-03-01T05:30:00Z,15.731,6.276,13.152,10.913
2025-03-01T05:45:00Z,15.722,6.246,13.314,10.989
2025-03-01T06:00:00Z,15.559,6.595,12.935,10.715
2025-03-01T06:15:00Z,15.478,6.262,12.984,10.277
2025-03-01T06:30:00Z,15.063,6.423,12.558,
2025-03-01T06:45:00Z,15.206,5.610,12.767,10.223
2025-03-01T07:00:00Z,14.840,6.237,12.465,9.824
2025-03-01T07:15:00Z,14.560,5.824,12.082,9.857
2025-03-01T07:30:00Z,14.483,5.526,12.060,9.412
2025-03-01T07:45:00Z,14.342,5.569,11.933,9.379
2025-03-01T08:00:00Z,13.668,5.002,11.594,8.386
2025-03-01T08:15:00Z,13.354,5.053,11.278,8.079
2025-03-01T08:30:00Z,13.104,5.263,10.822,8.094
2025-03-01T08:45:00Z,13.125,5.138,11.198,8.379
2025-03-01T09:00:00Z,12.761,4.722,10.496,7.909
2025-03-01T09:15:00Z,12.392,5.111,10.565,
2025-03-01T09:30:00Z,12.099,4.573,9.990,7.364
2025-03-01T09:45:00Z,11.779,4.713,9.951,6.987
2025-03-01T10:00:00Z,11.232,4.238,9.479,6.275
2025-03-01T10:15:00Z,11.149,4.818,9.311,6.060
2025-03-01T10:30:00Z,10.731,4.268,9.048,5.740
