observed_at,ambient_c,wind_kph,target,dew_point_c
2025-03-01T00:00:00Z,11.913,7.852,10.364,7.078
2025-03-01T00:15:00Z,12.207,7.841,10.409,7.500
2025-03-01T00:30:00Z,12.762,8.325,11.181,7.777
2025-03-01T00:45:00Z,13.137,8.143,11.390,8.050
2025-03-01T01:00:00Z,13.289,8.022,11.374,
2025-03-01T01:15:00Z,13.731,7.952,11.638,8.503
2025-03-01T01:30:00Z,13.695,8.249,11.596,8.966
2025-03-01T01:45:00Z,14.279,7.854,12.042,9.076
2025-03-01T02:00:00Z,14.334,7.941,12.154,9.405
2025-03-01T02:15:00Z,15.012,7.490,12.695,10.049
2025-03-01T02:30:00Z,14.852,7.303,12.465,9.700
2025-03-01T02:45:00Z,14.962,7.911,12.884,10.226
2025-03-01T03:00:00Z,15.230,7.480,13.067,10.210
2025-03-01T03:15:00Z,15.318,7.300,12.846,10.598
2025-03-01T03:30:00Z,15.541,7.534,13.380,10.424
2025-03-01T03:45:00Z,15.865,6.889,13.284,
2025-03-01T04:00:00Z,15.999,6.897,13.381,11.003
2025-03-01T04:15:00Z,15.851,6.715,13.324,11.057
2025-03-01T04:30:00Z,15.968,6.653,13.289,11.077
2025-03-01T04:45:00Z,15.888,6.585,13.245,11.179
2025-03-01T05:00:00Z,15.684,6.745,13.140,10.515
2025-03-01T05:15:00Z,16.226,6.796,13.852,11.122
2025-03-01T05:30:00Z,15.726,6.349,13.075,10.806
2025-03-01T05:45:00Z,15.531,6.756,13.109,10.314
2025-03-01T06:00:00Z,15.490,6.698,13.197,10.344
2025-03-01T06:15:00Z,15.702,6.490,13.241,10.948
2025-03-01T06:30:00Z,15.362,6.233,13.075,
2025-03-01T06:45:00Z,15.136,5.758,12.617,10.288
2025-03-01T07:00:00Z,14.974,5.699,12.411,9.755
2025-03-01T07:15:00Z,14.834,5.455,12.578,9.802
2025-03-01T07:30:00Z,14.325,5.815,12.195,9.222
2025-03-01T07:45:00Z,14.353,5.560,12.057,9.630
2025-03-01T08:00:00Z,14.090,5.362,11.976,9.051
2025-03-01T08:15:00Z,13.702,5.457,11.481,8.919
2025-03-01T08:30:00Z,12.997,4.903,10.766,7.803
2025-03-01T08:45:00Z,12.972,5.166,10.815,8.076
2025-03-01T09:00:00Z,12.302,5.026,10.413,7.354
2025-03-01T09:15:00Z,12.418,5.085,10.272,
2025-03-01T09:30:00Z,11.790,5.033,10.062,6.859
2025-03-01T09:45:00Z,11.481,4.314,9.614,6.503
2025-03-01T10:00:00Z,11.339,4.716,9.582,6.175
