epoch_s	ambient_c	wind_kph	target	dew_point_c
1740787200	12.125	7.927	10.368	7.369
1740788100	12.477	7.775	10.855	7.445
1740789000	12.696	7.964	10.891	7.720
1740789900	12.798	8.209	11.169	7.728
1740790800	13.102	8.173	11.104	nan
1740791700	13.342	8.180	11.535	8.537
1740792600	14.064	7.937	11.946	8.771
1740793500	14.368	7.459	12.062	9.093
1740794400	14.590	8.066	12.566	9.830
1740795300	14.644	7.482	12.574	9.505
1740796200	15.041	7.373	12.672	9.789
1740797100	15.060	7.616	12.610	9.801
1740798000	15.340	7.206	13.106	10.416
1740798900	15.266	7.602	13.155	10.325
1740799800	15.439	7.459	13.189	10.359
1740800700	16.076	6.896	13.353	nan
1740801600	16.045	7.171	13.684	10.769
1740802500	15.973	6.869	13.307	11.045
1740803400	16.257	6.790	13.623	11.314
1740804300	16.080	6.572	13.528	11.222
1740805200	15.841	7.093	13.228	10.772
1740806100	16.158	7.042	13.771	11.458
1740807000	15.621	6.613	13.218	10.684
1740807900	15.883	6.293	13.452	10.807
1740808800	15.457	6.010	13.037	10.748
1740809700	15.766	5.873	13.187	10.513
1740810600	15.147	5.960	12.791	nan
1740811500	14.866	6.231	12.366	10.026
1740812400	14.681	6.092	12.170	9.505
1740813300	14.452	5.587	12.209	9.235
1740814200	14.177	5.415	11.873	9.377
1740815100	14.219	5.140	11.911	9.238
1740816000	14.034	5.539	11.977	9.175
1740816900	13.552	5.143	11.238	8.735
1740817800	13.416	5.454	11.111	8.691
1740818700	12.804	5.104	10.562	7.800
1740819600	12.563	4.993	10.519	7.475
1740820500	12.152	4.990	10.067	nan
1740821400	11.784	4.630	9.954	6.890
1740822300	11.605	4.978	9.934	6.684
1740823200	11.222	4.280	9.472	6.371
1740824100	10.812	4.547	9.145	5.972
1740825000	10.325	4.338	8.664	5.112
1740825900	10.315	4.413	8.654	5.488
1740826800	10.176	3.961	8.594	5.392
1740827700	9.916	3.993	8.481	5.103
1740828600	9.611	4.130	8.182	4.524
1740829500	8.940	4.528	7.801	3.873
1740830400	8.749	3.927	7.346	nan
1740831300	8.537	4.275	7.183	3.429
1740832200	8.397	3.964	7.242	3.559
1740833100	8.236	3.706	7.023	3.398
1740834000	8.065	4.137	7.044	2.909
1740834900	8.348	3.707	7.218	3.522
1740835800	7.900	3.952	6.801	2.617
1740836700	8.007	4.315	6.653	3.277
1740837600	7.960	4.324	6.645	2.754
1740838500	8.053	4.428	6.832	3.219
1740839400	8.283	4.331	6.997	3.183
1740840300	8.140	4.018	6.797	nan
1740841200	8.426	3.911	7.158	3.666
1740842100	8.382	4.007	7.132	3.344
1740843000	8.126	3.900	7.035	3.311
1740843900	8.342	4.234	7.059	3.113
1740844800	9.018	4.516	7.841	3.823
1740845700	8.938	4.435	7.670	3.693
1740846600	9.415	4.565	8.101	4.345
1740847500	9.602	4.340	8.131	4.871
