epoch_s	ambient_c	wind_kph	target
1740787200	11.738	7.614	10.237
1740788100	12.311	8.233	10.733
1740789000	12.468	8.140	10.608
1740789900	13.112	7.795	11.136
1740790800	13.228	7.635	11.466
1740791700	13.560	7.588	11.572
1740792600	13.876	7.593	12.015
1740793500	13.942	8.171	11.840
1740794400	14.604	7.546	12.255
1740795300	14.622	7.332	12.422
1740796200	14.808	7.800	12.618
1740797100	15.290	7.768	13.015
1740798000	15.351	7.766	12.999
1740798900	15.575	7.140	12.991
1740799800	15.735	6.974	13.254
1740800700	15.996	7.539	13.371
1740801600	15.863	7.050	13.574
1740802500	15.868	6.742	13.323
1740803400	16.228	7.003	13.745
1740804300	16.186	6.715	13.663
1740805200	15.684	6.536	13.168
1740806100	15.904	6.266	13.374
1740807000	15.625	6.369	13.316
1740807900	15.963	6.466	13.312
1740808800	15.720	6.380	13.149
1740809700	15.733	5.889	13.221
1740810600	15.118	6.081	12.700
1740811500	15.277	5.913	12.859
1740812400	15.061	5.762	12.448
1740813300	14.877	5.420	12.622
1740814200	14.320	5.351	12.114
1740815100	14.418	5.463	11.949
1740816000	13.899	5.254	11.458
1740816900	13.396	5.409	11.062
1740817800	13.057	5.416	10.792
1740818700	13.063	5.431	10.808
1740819600	12.334	5.281	10.584
1740820500	12.292	4.593	10.162
1740821400	11.946	4.879	10.036
1740822300	11.409	4.324	9.480
1740823200	11.046	4.374	9.358
1740824100	11.130	4.794	9.288
1740825000	10.478	4.061	8.872
1740825900	10.469	4.010	8.769
1740826800	9.906	4.585	8.308
1740827700	9.776	4.520	8.077
1740828600	9.397	3.972	8.094
1740829500	9.352	4.395	7.803
1740830400	9.192	3.931	7.897
1740831300	8.637	4.206	7.303
1740832200	8.811	4.329	7.500
1740833100	8.389	3.844	7.082
1740834000	8.475	3.798	7.117
1740834900	8.169	3.911	6.911
1740835800	7.980	4.063	6.667
1740836700	8.162	4.273	6.787
1740837600	7.723	4.217	6.577
1740838500	8.257	3.739	7.091
1740839400	8.099	3.872	7.011
1740840300	7.952	4.032	6.678
1740841200	8.241	4.483	6.958
1740842100	8.269	4.553	7.202
1740843000	8.684	4.288	7.222
1740843900	8.821	4.370	7.437
1740844800	9.043	4.617	7.828
1740845700	8.985	4.715	7.796
1740846600	9.424	4.896	8.003
1740847500	9.282	4.661	7.813
1740848400	9.929	4.917	8.339
1740849300	10.213	5.152	8.798
1740850200	10.419	4.603	8.940
1740851100	10.534	4.769	8.743
1740852000	11.047	5.015	9.457
1740852900	11.460	5.355	9.799
1740853800	11.780	5.694	10.180
1740854700	11.607	5.490	9.730
1740855600	12.116	5.446	10.404
1740856500	12.469	5.254	10.632
1740857400	13.013	5.986	10.983
1740858300	12.964	5.884	11.047
1740859200	13.508	6.369	11.325
1740860100	14.037	5.748	11.885
1740861000	14.229	5.848	12.059
1740861900	14.465	6.362	12.165
1740862800	14.531	6.324	12.132
1740863700	14.900	6.682	12.529
1740864600	14.822	6.801	12.588
1740865500	15.097	7.178	12.917
1740866400	15.326	6.867	13.014
1740867300	15.599	7.373	13.071
1740868200	15.737	7.038	13.287
1740869100	15.582	7.075	13.246
1740870000	15.742	7.545	13.330
1740870900	15.832	7.430	13.598
1740871800	16.003	7.092	13.589
1740872700	15.894	7.832	13.639
1740873600	15.718	7.523	13.491
1740874500	15.791	7.836	13.261
1740875400	15.530	7.672	13.052
1740876300	15.411	7.523	12.999
1740877200	15.630	7.701	13.108
1740878100	15.269	7.671	12.878
1740879000	15.273	8.214	13.100
1740879900	15.149	7.642	12.833
1740880800	15.039	8.155	12.956
1740881700	14.281	7.724	12.132
1740882600	13.933	7.609	11.787
1740883500	13.779	8.108	11.803
1740884400	13.779	8.378	11.829
1740885300	13.100	7.805	11.103
1740886200	12.860	8.194	11.298
1740887100	12.590	7.846	10.872
1740888000	12.441	7.789	10.689
1740888900	11.796	8.218	10.354
1740889800	11.649	8.171	10.038
1740890700	11.601	8.119	10.143
1740891600	10.977	7.956	9.380
1740892500	10.567	7.253	9.347
1740893400	10.440	7.632	9.140
1740894300	10.139	7.522	9.026
1740895200	9.693	7.109	8.373
1740896100	9.529	6.954	8.280
1740897000	9.349	7.510	8.381
1740897900	8.959	6.808	7.922
1740898800	8.568	6.692	7.641
1740899700	8.573	7.328	7.466
1740900600	8.691	6.671	7.738
1740901500	8.224	7.018	7.305
1740902400	8.209	6.337	7.362
1740903300	7.882	6.348	7.096
1740904200	8.312	6.374	7.314
1740905100	8.168	6.597	7.240
1740906000	8.259	6.392	7.180
1740906900	7.826	6.248	7.054
1740907800	8.110	5.968	6.986
1740908700	7.978	5.943	7.115
1740909600	8.382	5.653	7.114
1740910500	8.608	5.432	7.382
1740911400	8.333	5.336	7.392
1740912300	8.897	5.184	7.769
1740913200	8.730	4.959	7.436
1740914100	9.031	5.407	7.771
1740915000	9.594	4.816	8.074
1740915900	9.624	5.056	8.035
1740916800	10.009	5.240	8.699
1740917700	10.188	4.914	8.467
1740918600	10.305	4.399	8.741
1740919500	10.906	4.517	9.207
1740920400	11.376	4.710	9.583
1740921300	11.229	4.668	9.437
1740922200	12.014	4.533	9.944
1740923100	12.345	3.897	10.418
1740924000	12.190	4.573	10.303
1740924900	12.504	4.016	10.443
1740925800	13.088	3.918	10.737
1740926700	13.242	4.452	10.911
1740927600	13.586	3.688	11.293
1740928500	14.158	3.740	11.596
1740929400	14.104	3.766	11.693
1740930300	14.465	4.336	11.980
1740931200	14.554	4.132	12.149
1740932100	14.972	4.059	12.189
1740933000	15.019	4.040	12.524
1740933900	15.117	3.837	12.308
1740934800	15.422	3.731	12.728
1740935700	15.532	4.436	13.055
1740936600	15.659	3.902	12.855
1740937500	15.625	4.011	13.033
1740938400	15.912	4.518	13.183
1740939300	15.820	4.534	13.096
1740940200	15.860	4.001	13.027
1740941100	15.705	4.078	12.784
1740942000	16.222	4.469	13.473
1740942900	15.673	4.185	12.822
1740943800	15.671	4.778	12.988
1740944700	15.593	4.938	12.805
1740945600	15.285	4.521	12.718
1740946500	15.163	4.837	12.459
1740947400	15.127	5.121	12.716
1740948300	14.834	5.011	12.506
1740949200	14.796	5.583	12.542
1740950100	14.485	5.219	12.170
1740951000	14.209	5.230	12.040
1740951900	13.863	5.492	11.581
1740952800	13.442	5.999	11.281
1740953700	13.087	5.433	11.141
1740954600	13.079	6.161	11.047
1740955500	12.361	5.994	10.663
1740956400	12.389	6.369	10.748
1740957300	12.051	6.080	10.445
1740958200	11.298	6.647	9.858
1740959100	11.284	6.326	9.747
1740960000	11.070	6.610	9.356
1740960900	10.690	6.958	9.151
1740961800	10.281	7.040	9.003
1740962700	10.195	6.877	8.991
1740963600	9.714	7.298	8.670
1740964500	9.201	6.943	8.071
1740965400	8.989	7.202	7.746
1740966300	8.987	7.207	7.845
1740967200	8.937	7.065	7.899
1740968100	8.404	7.753	7.389
1740969000	8.274	7.649	7.352
1740969900	8.380	7.601	7.513
1740970800	7.932	7.830	7.030
1740971700	8.010	7.853	7.381
1740972600	8.312	8.021	7.374
1740973500	8.195	7.873	7.318
1740974400	7.778	7.781	7.019
1740975300	8.271	8.227	7.386
1740976200	8.054	8.150	7.102
1740977100	8.003	7.951	7.100
1740978000	8.071	8.368	7.137
1740978900	8.316	8.142	7.515
1740979800	8.565	8.148	7.792
1740980700	9.064	8.259	8.129
1740981600	8.886	8.181	7.804
1740982500	9.193	7.583	8.052
1740983400	9.193	7.550	8.279
1740984300	9.847	7.991	8.677
1740985200	9.942	7.544	8.775
1740986100	10.237	7.720	8.992
1740987000	10.440	8.065	9.124
1740987900	10.755	7.374	9.211
1740988800	11.298	8.012	9.927
1740989700	11.341	7.354	9.829
1740990600	11.662	7.758	10.276
1740991500	12.190	7.448	10.582
1740992400	12.867	7.459	10.905
1740993300	12.647	7.162	10.755
1740994200	13.162	6.780	11.107
1740995100	13.329	7.131	11.289
1740996000	13.660	6.603	11.478
1740996900	14.381	7.168	12.312
1740997800	14.519	6.698	12.417
1740998700	14.656	6.792	12.424
1740999600	14.642	6.472	12.243
1741000500	15.380	6.647	13.032
1741001400	15.230	6.589	12.949
1741002300	15.796	5.882	13.126
1741003200	15.549	5.964	12.944
1741004100	15.631	5.899	12.957
1741005000	15.688	5.580	13.275
1741005900	15.706	5.500	12.931
1741006800	15.685	5.425	13.155
1741007700	15.749	5.453	13.119
1741008600	16.088	5.536	13.532
1741009500	15.880	4.979	13.015
1741010400	15.785	4.831	13.284
1741011300	15.983	5.358	13.451
1741012200	15.561	5.083	13.065
1741013100	15.587	4.734	13.064
1741014000	15.497	4.678	12.973
1741014900	15.048	5.018	12.515
1741015800	14.738	4.870	12.270
1741016700	14.673	4.581	12.318
