observed_at,target,dew_point_c
2025-03-01T00:00:00Z,10.244,7.084
2025-03-01T00:15:00Z,10.519,7.077
2025-03-01T00:30:00Z,10.853,7.831
2025-03-01T00:45:00Z,11.154,8.231
2025-03-01T01:00:00Z,11.615,
2025-03-01T01:15:00Z,11.660,8.649
2025-03-01T01:30:00Z,12.199,9.378
2025-03-01T01:45:00Z,12.457,9.126
2025-03-01T02:00:00Z,12.392,9.561
2025-03-01T02:15:00Z,12.437,9.578
2025-03-01T02:30:00Z,12.692,9.957
2025-03-01T02:45:00Z,12.916,10.291
2025-03-01T03:00:00Z,13.163,10.334
2025-03-01T03:15:00Z,13.249,10.363
2025-03-01T03:30:00Z,13.172,10.904
2025-03-01T03:45:00Z,13.425,
2025-03-01T04:00:00Z,13.448,11.376
2025-03-01T04:15:00Z,13.771,11.437
2025-03-01T04:30:00Z,13.259,10.762
2025-03-01T04:45:00Z,13.324,10.734
2025-03-01T05:00:00Z,13.795,11.050
2025-03-01T05:15:00Z,13.252,10.898
2025-03-01T05:30:00Z,13.457,10.939
2025-03-01T05:45:00Z,13.322,10.898
2025-03-01T06:00:00Z,12.981,10.661
2025-03-01T06:15:00Z,13.239,10.522
2025-03-01T06:30:00Z,12.994,
2025-03-01T06:45:00Z,12.553,10.115
2025-03-01T07:00:00Z,12.185,9.784
2025-03-01T07:15:00Z,12.610,10.135
2025-03-01T07:30:00Z,11.934,9.224
2025-03-01T07:45:00Z,11.778,9.260
2025-03-01T08:00:00Z,11.350,9.044
2025-03-01T08:15:00Z,11.416,8.529
2025-03-01T08:30:00Z,10.937,8.450
2025-03-01T08:45:00Z,10.463,7.483
2025-03-01T09:00:00Z,10.381,7.402
2025-03-01T09:15:00Z,10.152,
2025-03-01T09:30:00Z,10.148,7.114
2025-03-01T09:45:00Z,9.836,6.560
2025-03-01T10:00:00Z,9.831,6.611
2025-03-01T10:15:00Z,9.519,5.773
2025-03-01T10:30:00Z,9.095,5.639
2025-03-01T10:45:00Z,8.733,5.208
2025-03-01T11:00:00Z,8.271,4.789
2025-03-01T11:15:00Z,8.014,4.655
2025-03-01T11:30:00Z,8.011,4.807
2025-03-01T11:45:00Z,7.777,4.270
2025-03-01T12:00:00Z,7.710,
2025-03-01T12:15:00Z,7.409,3.546
2025-03-01T12:30:00Z,7.325,4.018
2025-03-01T12:45:00Z,7.193,3.087
2025-03-01T13:00:00Z,6.602,3.093
2025-03-01T13:15:00Z,6.866,3.290
2025-03-01T13:30:00Z,6.905,2.632
2025-03-01T13:45:00Z,6.723,2.706
2025-03-01T14:00:00Z,6.430,2.649
2025-03-01T14:15:00Z,6.878,2.928
2025-03-01T14:30:00Z,6.408,2.695
2025-03-01T14:45:00Z,6.823,
2025-03-01T15:00:00Z,7.258,3.283
2025-03-01T15:15:00Z,6.730,3.365
2025-03-01T15:30:00Z,7.256,3.427
2025-03-01T15:45:00Z,7.238,3.156
2025-03-01T16:00:00Z,7.500,4.035
2025-03-01T16:15:00Z,7.940,3.927
2025-03-01T16:30:00Z,7.519,3.891
2025-03-01T16:45:00Z,8.307,4.676
2025-03-01T17:00:00Z,8.061,4.693
2025-03-01T17:15:00Z,8.384,5.014
2025-03-01T17:30:00Z,8.634,
2025-03-01T17:45:00Z,9.048,6.033
2025-03-01T18:00:00Z,9.342,5.738
2025-03-01T18:15:00Z,9.641,6.527
2025-03-01T18:30:00Z,9.764,6.335
2025-03-01T18:45:00Z,9.919,6.894
2025-03-01T19:00:00Z,10.171,6.773
2025-03-01T19:15:00Z,10.581,7.573
2025-03-01T19:30:00Z,11.024,7.846
2025-03-01T19:45:00Z,11.195,8.323
2025-03-01T20:00:00Z,11.272,8.837
2025-03-01T20:15:00Z,11.762,
2025-03-01T20:30:00Z,12.127,9.543
2025-03-01T20:45:00Z,11.951,9.076
2025-03-01T21:00:00Z,12.416,9.451
2025-03-01T21:15:00Z,12.382,9.464
2025-03-01T21:30:00Z,12.799,10.123
2025-03-01T21:45:00Z,13.312,10.818
2025-03-01T22:00:00Z,13.224,10.876
2025-03-01T22:15:00Z,13.332,10.750
2025-03-01T22:30:00Z,12.948,10.332
2025-03-01T22:45:00Z,13.385,10.974
2025-03-01T23:00:00Z,13.440,
2025-03-01T23:15:00Z,13.464,10.802
2025-03-01T23:30:00Z,13.491,10.768
2025-03-01T23:45:00Z,13.618,10.879
2025-03-02T00:00:00Z,13.521,10.893
2025-03-02T00:15:00Z,13.917,11.047
2025-03-02T00:30:00Z,13.525,11.296
2025-03-02T00:45:00Z,13.222,10.272
2025-03-02T01:00:00Z,13.476,10.742
2025-03-02T01:15:00Z,12.964,10.287
2025-03-02T01:30:00Z,13.115,10.405
2025-03-02T01:45:00Z,12.849,
2025-03-02T02:00:00Z,12.828,9.699
2025-03-02T02:15:00Z,12.539,9.573
2025-03-02T02:30:00Z,12.272,9.432
2025-03-02T02:45:00Z,11.978,9.352
2025-03-02T03:00:00Z,11.831,8.640
2025-03-02T03:15:00Z,11.714,8.543
2025-03-02T03:30:00Z,11.275,8.048
2025-03-02T03:45:00Z,11.167,7.800
2025-03-02T04:00:00Z,10.717,7.818
2025-03-02T04:15:00Z,10.464,7.011
2025-03-02T04:30:00Z,10.268,
2025-03-02T04:45:00Z,9.681,6.461
2025-03-02T05:00:00Z,9.519,6.275
2025-03-02T05:15:00Z,9.291,5.933
2025-03-02T05:30:00Z,9.110,5.089
2025-03-02T05:45:00Z,8.662,5.257
2025-03-02T06:00:00Z,8.707,4.554
2025-03-02T06:15:00Z,8.457,4.298
2025-03-02T06:30:00Z,8.375,4.603
2025-03-02T06:45:00Z,8.041,4.275
2025-03-02T07:00:00Z,7.821,3.574
2025-03-02T07:15:00Z,7.500,
2025-03-02T07:30:00Z,7.441,3.495
2025-03-02T07:45:00Z,7.307,3.148
2025-03-02T08:00:00Z,7.179,3.122
2025-03-02T08:15:00Z,7.416,3.343
2025-03-02T08:30:00Z,7.205,3.179
2025-03-02T08:45:00Z,7.020,3.393
2025-03-02T09:00:00Z,7.239,3.222
2025-03-02T09:15:00Z,6.969,3.066
2025-03-02T09:30:00Z,6.998,3.463
2025-03-02T09:45:00Z,7.302,3.658
2025-03-02T10:00:00Z,7.460,
2025-03-02T10:15:00Z,7.159,3.428
2025-03-02T10:30:00Z,7.456,3.410
2025-03-02T10:45:00Z,7.286,3.464
2025-03-02T11:00:00Z,7.738,3.902
2025-03-02T11:15:00Z,7.730,4.375
2025-03-02T11:30:00Z,8.076,4.444
2025-03-02T11:45:00Z,8.068,4.802
2025-03-02T12:00:00Z,8.129,5.056
2025-03-02T12:15:00Z,8.920,5.296
2025-03-02T12:30:00Z,9.162,5.861
2025-03-02T12:45:00Z,9.010,
2025-03-02T13:00:00Z,9.214,5.763
2025-03-02T13:15:00Z,9.533,6.267
2025-03-02T13:30:00Z,9.861,7.207
2025-03-02T13:45:00Z,10.137,7.352
2025-03-02T14:00:00Z,10.460,7.687
2025-03-02T14:15:00Z,10.864,7.802
2025-03-02T14:30:00Z,10.932,7.834
2025-03-02T14:45:00Z,10.815,8.393
2025-03-02T15:00:00Z,11.577,8.567
2025-03-02T15:15:00Z,11.423,8.655
2025-03-02T15:30:00Z,11.718,
2025-03-02T15:45:00Z,12.199,9.631
2025-03-02T16:00:00Z,12.051,9.939
2025-03-02T16:15:00Z,12.474,10.163
2025-03-02T16:30:00Z,12.564,10.013
2025-03-02T16:45:00Z,12.660,10.490
2025-03-02T17:00:00Z,12.784,10.067
2025-03-02T17:15:00Z,12.941,10.658
2025-03-02T17:30:00Z,12.865,10.620
2025-03-02T17:45:00Z,13.286,10.795
2025-03-02T18:00:00Z,13.438,11.313
2025-03-02T18:15:00Z,13.074,
2025-03-02T18:30:00Z,13.183,10.938
2025-03-02T18:45:00Z,13.029,10.456
2025-03-02T19:00:00Z,13.264,10.728
2025-03-02T19:15:00Z,13.220,10.874
2025-03-02T19:30:00Z,13.143,10.924
2025-03-02T19:45:00Z,12.863,10.295
2025-03-02T20:00:00Z,12.828,10.225
