observed_at,target,dew_point_c
2025-03-01T00:00:00Z,12.454,5.854
2025-03-01T00:15:00Z,12.968,6.490
2025-03-01T00:30:00Z,12.936,6.587
2025-03-01T00:45:00Z,13.241,7.027
2025-03-01T01:00:00Z,13.488,7.415
2025-03-01T01:15:00Z,14.036,
2025-03-01T01:30:00Z,14.751,8.977
2025-03-01T01:45:00Z,15.087,9.469
2025-03-01T02:00:00Z,15.703,10.244
2025-03-01T02:15:00Z,15.974,10.677
2025-03-01T02:30:00Z,16.249,11.116
2025-03-01T02:45:00Z,16.853,11.886
2025-03-01T03:00:00Z,17.063,12.263
2025-03-01T03:15:00Z,17.139,12.506
2025-03-01T03:30:00Z,17.294,12.827
2025-03-01T03:45:00Z,18.030,13.727
2025-03-01T04:00:00Z,18.009,13.868
2025-03-01T04:15:00Z,17.731,
2025-03-01T04:30:00Z,18.135,14.310
2025-03-01T04:45:00Z,18.352,14.678
2025-03-01T05:00:00Z,18.406,14.879
2025-03-01T05:15:00Z,17.954,14.568
2025-03-01T05:30:00Z,18.021,14.771
2025-03-01T05:45:00Z,18.018,14.896
2025-03-01T06:00:00Z,18.631,15.631
2025-03-01T06:15:00Z,18.543,15.657
2025-03-01T06:30:00Z,18.289,15.509
2025-03-01T06:45:00Z,17.650,14.967
2025-03-01T07:00:00Z,17.447,14.852
2025-03-01T07:15:00Z,17.969,15.452
2025-03-01T07:30:00Z,17.611,15.163
2025-03-01T07:45:00Z,16.739,14.350
2025-03-01T08:00:00Z,16.648,14.307
2025-03-01T08:15:00Z,16.809,14.506
2025-03-01T08:30:00Z,15.910,13.634
2025-03-01T08:45:00Z,15.592,13.332
2025-03-01T09:00:00Z,15.527,13.272
2025-03-01T09:15:00Z,15.256,12.996
2025-03-01T09:30:00Z,14.829,12.553
2025-03-01T09:45:00Z,13.896,11.592
2025-03-01T10:00:00Z,14.026,11.685
2025-03-01T10:15:00Z,13.404,11.015
2025-03-01T10:30:00Z,13.182,10.734
2025-03-01T10:45:00Z,12.193,9.676
2025-03-01T11:00:00Z,12.321,9.726
2025-03-01T11:15:00Z,11.152,8.469
2025-03-01T11:30:00Z,11.407,8.626
2025-03-01T11:45:00Z,10.114,7.228
2025-03-01T12:00:00Z,10.395,7.395
2025-03-01T12:15:00Z,9.912,
2025-03-01T12:30:00Z,8.940,5.690
2025-03-01T12:45:00Z,9.003,5.617
2025-03-01T13:00:00Z,8.672,5.144
2025-03-01T13:15:00Z,7.716,4.042
2025-03-01T13:30:00Z,7.772,3.946
2025-03-01T13:45:00Z,7.509,3.527
2025-03-01T14:00:00Z,6.531,2.390
