observed_at,target,dew_point_c
2025-03-01T00:00:00Z,10.254,6.781
2025-03-01T00:15:00Z,10.425,7.473
2025-03-01T00:30:00Z,11.048,7.703
2025-03-01T00:45:00Z,11.137,8.021
2025-03-01T01:00:00Z,11.565,
2025-03-01T01:15:00Z,11.636,8.344
2025-03-01T01:30:00Z,11.944,8.954
2025-03-01T01:45:00Z,12.223,9.620
2025-03-01T02:00:00Z,12.201,9.755
2025-03-01T02:15:00Z,12.725,9.639
2025-03-01T02:30:00Z,12.762,10.221
2025-03-01T02:45:00Z,13.266,10.651
2025-03-01T03:00:00Z,13.263,10.329
2025-03-01T03:15:00Z,13.004,10.219
2025-03-01T03:30:00Z,13.020,10.897
2025-03-01T03:45:00Z,13.417,
2025-03-01T04:00:00Z,13.628,10.893
2025-03-01T04:15:00Z,13.596,10.988
2025-03-01T04:30:00Z,13.188,10.564
2025-03-01T04:45:00Z,13.425,10.977
2025-03-01T05:00:00Z,13.190,10.422
2025-03-01T05:15:00Z,13.126,10.914
2025-03-01T05:30:00Z,12.954,10.864
2025-03-01T05:45:00Z,13.158,10.804
2025-03-01T06:00:00Z,12.970,10.181
2025-03-01T06:15:00Z,12.963,10.582
2025-03-01T06:30:00Z,13.044,
2025-03-01T06:45:00Z,12.512,9.825
2025-03-01T07:00:00Z,12.413,9.912
2025-03-01T07:15:00Z,12.361,9.963
2025-03-01T07:30:00Z,11.818,9.147
2025-03-01T07:45:00Z,12.040,9.184
2025-03-01T08:00:00Z,11.590,8.575
2025-03-01T08:15:00Z,11.176,8.732
2025-03-01T08:30:00Z,11.358,8.532
2025-03-01T08:45:00Z,10.712,8.087
2025-03-01T09:00:00Z,10.656,7.748
2025-03-01T09:15:00Z,10.240,
2025-03-01T09:30:00Z,10.201,7.111
2025-03-01T09:45:00Z,9.739,6.461
2025-03-01T10:00:00Z,9.328,5.688
2025-03-01T10:15:00Z,8.814,5.422
2025-03-01T10:30:00Z,8.925,5.691
2025-03-01T10:45:00Z,8.564,5.108
2025-03-01T11:00:00Z,8.564,5.355
2025-03-01T11:15:00Z,8.219,4.610
2025-03-01T11:30:00Z,7.629,4.364
2025-03-01T11:45:00Z,7.426,3.755
2025-03-01T12:00:00Z,7.588,
2025-03-01T12:15:00Z,7.439,4.028
2025-03-01T12:30:00Z,7.167,3.728
2025-03-01T12:45:00Z,7.023,3.148
2025-03-01T13:00:00Z,7.119,3.016
2025-03-01T13:15:00Z,6.712,3.125
2025-03-01T13:30:00Z,6.837,3.083
2025-03-01T13:45:00Z,6.720,3.050
2025-03-01T14:00:00Z,6.597,2.618
2025-03-01T14:15:00Z,7.029,2.839
2025-03-01T14:30:00Z,6.964,3.297
2025-03-01T14:45:00Z,6.665,
2025-03-01T15:00:00Z,6.722,3.015
2025-03-01T15:15:00Z,6.816,3.184
2025-03-01T15:30:00Z,7.558,3.710
2025-03-01T15:45:00Z,7.271,4.036
2025-03-01T16:00:00Z,7.643,4.254
2025-03-01T16:15:00Z,7.259,3.571
2025-03-01T16:30:00Z,7.633,3.823
2025-03-01T16:45:00Z,7.991,4.349
2025-03-01T17:00:00Z,8.262,4.717
2025-03-01T17:15:00Z,8.320,4.916
2025-03-01T17:30:00Z,9.141,
2025-03-01T17:45:00Z,9.126,5.774
2025-03-01T18:00:00Z,9.218,5.687
2025-03-01T18:15:00Z,9.276,5.889
2025-03-01T18:30:00Z,9.715,6.256
2025-03-01T18:45:00Z,9.923,7.250
2025-03-01T19:00:00Z,10.107,7.226
2025-03-01T19:15:00Z,10.754,7.889
2025-03-01T19:30:00Z,10.656,7.601
2025-03-01T19:45:00Z,10.997,8.052
2025-03-01T20:00:00Z,11.100,8.132
2025-03-01T20:15:00Z,11.372,
2025-03-01T20:30:00Z,11.985,8.702
2025-03-01T20:45:00Z,12.328,9.262
2025-03-01T21:00:00Z,12.401,9.589
2025-03-01T21:15:00Z,12.664,9.891
2025-03-01T21:30:00Z,12.819,10.244
2025-03-01T21:45:00Z,12.929,10.732
2025-03-01T22:00:00Z,13.068,10.147
2025-03-01T22:15:00Z,13.120,10.545
2025-03-01T22:30:00Z,13.319,10.912
2025-03-01T22:45:00Z,13.667,10.943
2025-03-01T23:00:00Z,13.488,
2025-03-01T23:15:00Z,13.292,10.931
2025-03-01T23:30:00Z,13.433,11.067
2025-03-01T23:45:00Z,13.770,11.157
