observed_at,target,dew_point_c
2025-03-03T02:00:00Z,7.605,3.729
2025-03-03T02:15:00Z,7.841,3.855
2025-03-03T02:30:00Z,7.493,
2025-03-03T02:45:00Z,7.472,3.216
2025-03-03T03:00:00Z,7.024,2.995
2025-03-03T03:15:00Z,7.204,2.791
2025-03-03T03:30:00Z,7.149,3.430
2025-03-03T03:45:00Z,7.304,3.114
2025-03-03T04:00:00Z,7.352,3.004
2025-03-03T04:15:00Z,7.480,3.051
2025-03-03T04:30:00Z,7.451,3.221
2025-03-03T04:45:00Z,7.097,3.099
2025-03-03T05:00:00Z,7.615,3.443
2025-03-03T05:15:00Z,7.342,
2025-03-03T05:30:00Z,7.795,3.797
2025-03-03T05:45:00Z,7.998,3.694
2025-03-03T06:00:00Z,7.943,3.818
2025-03-03T06:15:00Z,8.351,4.493
2025-03-03T06:30:00Z,8.676,4.801
2025-03-03T06:45:00Z,8.627,4.733
2025-03-03T07:00:00Z,8.416,4.604
2025-03-03T07:15:00Z,8.956,5.131
2025-03-03T07:30:00Z,9.056,5.621
2025-03-03T07:45:00Z,9.459,5.777
2025-03-03T08:00:00Z,9.618,
2025-03-03T08:15:00Z,9.754,6.533
2025-03-03T08:30:00Z,9.926,6.492
2025-03-03T08:45:00Z,10.446,7.622
2025-03-03T09:00:00Z,10.972,7.618
2025-03-03T09:15:00Z,10.778,7.832
2025-03-03T09:30:00Z,11.232,8.088
2025-03-03T09:45:00Z,11.564,8.662
2025-03-03T10:00:00Z,11.629,8.910
2025-03-03T10:15:00Z,11.931,9.139
2025-03-03T10:30:00Z,12.235,9.354
2025-03-03T10:45:00Z,12.212,
2025-03-03T11:00:00Z,12.548,10.117
2025-03-03T11:15:00Z,12.796,10.443
2025-03-03T11:30:00Z,12.854,9.937
2025-03-03T11:45:00Z,13.067,10.781
2025-03-03T12:00:00Z,12.899,10.632
2025-03-03T12:15:00Z,13.067,10.458
2025-03-03T12:30:00Z,13.354,11.110
2025-03-03T12:45:00Z,13.200,11.177
2025-03-03T13:00:00Z,13.065,11.085
2025-03-03T13:15:00Z,13.454,11.276
2025-03-03T13:30:00Z,13.163,
2025-03-03T13:45:00Z,13.352,10.900
2025-03-03T14:00:00Z,13.070,11.040
2025-03-03T14:15:00Z,13.116,10.822
