epoch_s	target	dew_point_c
1740787200	10.178	6.796
1740788100	10.823	7.383
1740789000	11.061	8.132
1740789900	11.034	8.187
1740790800	11.729	nan
1740791700	11.570	8.460
1740792600	11.787	8.930
1740793500	11.830	9.015
1740794400	12.662	9.924
1740795300	12.720	9.605
1740796200	12.795	9.953
1740797100	12.943	10.549
1740798000	13.012	10.333
1740798900	13.072	10.482
1740799800	13.384	10.856
1740800700	13.057	nan
1740801600	13.510	10.898
1740802500	13.444	10.727
1740803400	13.772	11.391
1740804300	13.674	11.179
1740805200	13.361	10.709
1740806100	13.079	10.877
1740807000	12.994	10.580
1740807900	13.433	10.879
1740808800	13.122	11.146
1740809700	12.886	10.341
1740810600	12.826	nan
1740811500	12.816	10.028
1740812400	12.684	10.288
1740813300	12.676	9.862
1740814200	12.166	9.536
1740815100	11.778	9.079
1740816000	11.957	9.121
1740816900	11.281	8.470
1740817800	11.111	8.326
1740818700	11.272	8.375
1740819600	10.423	7.270
1740820500	10.147	nan
1740821400	10.236	7.309
1740822300	9.767	6.727
1740823200	9.560	5.999
1740824100	9.005	6.104
1740825000	8.878	5.635
1740825900	8.402	4.731
1740826800	8.768	5.371
1740827700	8.472	4.916
1740828600	7.891	4.182
1740829500	7.906	4.532
1740830400	7.597	nan
1740831300	7.348	3.539
1740832200	7.174	3.752
1740833100	7.013	3.311
1740834000	6.884	2.996
1740834900	6.547	2.817
1740835800	7.144	3.468
1740836700	7.193	3.585
1740837600	7.068	3.060
1740838500	6.720	2.871
1740839400	6.581	2.476
1740840300	6.944	nan
1740841200	6.924	3.308
1740842100	6.902	3.130
1740843000	7.342	3.465
1740843900	7.435	3.691
1740844800	7.314	3.457
1740845700	7.401	3.929
1740846600	7.922	4.344
1740847500	7.706	4.230
1740848400	8.263	4.277
1740849300	8.525	5.203
1740850200	8.760	nan
1740851100	9.361	5.845
1740852000	9.288	5.542
1740852900	9.157	6.268
1740853800	9.916	6.541
1740854700	10.022	6.997
1740855600	10.181	7.202
1740856500	10.359	7.615
1740857400	10.997	8.012
1740858300	11.403	8.554
1740859200	11.426	8.337
1740860100	11.878	nan
1740861000	12.049	9.201
1740861900	12.109	9.835
1740862800	12.236	9.676
1740863700	12.533	9.817
1740864600	12.764	10.319
1740865500	13.018	10.428
1740866400	12.885	10.119
1740867300	13.090	10.415
1740868200	13.461	10.757
1740869100	13.376	11.109
1740870000	13.428	nan
1740870900	13.690	11.206
1740871800	13.755	11.096
1740872700	13.381	10.535
1740873600	13.464	10.833
1740874500	13.725	10.781
1740875400	13.215	10.460
1740876300	13.391	11.047
1740877200	13.324	10.538
1740878100	12.999	10.404
1740879000	12.932	10.472
1740879900	12.796	nan
1740880800	12.780	9.928
1740881700	12.420	9.471
1740882600	12.417	9.232
1740883500	12.159	8.839
1740884400	11.363	8.608
1740885300	11.731	8.626
1740886200	11.037	8.271
1740887100	10.934	7.380
1740888000	10.889	7.658
1740888900	10.676	7.368
1740889800	10.163	nan
1740890700	9.530	6.143
1740891600	9.637	6.246
1740892500	9.397	6.102
1740893400	9.183	5.732
1740894300	9.003	5.265
1740895200	8.511	4.972
1740896100	8.504	4.953
1740897000	7.911	4.169
1740897900	8.164	4.357
1740898800	8.131	3.905
1740899700	7.322	nan
1740900600	7.568	3.656
1740901500	7.283	3.459
1740902400	7.040	2.766
1740903300	7.049	3.033
1740904200	7.108	3.459
1740905100	7.118	3.120
1740906000	7.223	3.365
1740906900	7.149	3.390
1740907800	6.968	2.855
1740908700	7.248	3.529
1740909600	6.825	nan
1740910500	7.248	3.399
1740911400	7.028	3.487
