input	target
1704067200	20.000000
1704068100	20.327516
1704069000	20.653631
1704069900	20.976952
1704070800	21.296095
1704071700	21.609697
1704072600	21.916417
1704073500	22.214943
1704074400	22.504000
1704075300	22.782351
1704076200	23.048807
1704077100	23.302229
1704078000	23.541534
1704078900	23.765699
1704079800	23.973767
1704080700	24.164848
1704081600	24.338127
1704082500	24.492864
1704083400	24.628398
1704084300	24.744151
1704085200	24.839629
1704086100	24.914426
1704087000	24.968224
1704087900	25.000795
1704088800	25.012000
1704089700	25.001795
1704090600	24.970224
1704091500	24.917426
1704092400	24.843629
1704093300	24.749151
1704094200	24.634398
1704095100	24.499864
1704096000	24.346127
1704096900	24.173848
1704097800	23.983767
1704098700	23.776699
1704099600	23.553534
1704100500	23.315229
1704101400	23.062807
1704102300	22.797351
1704103200	22.520000
1704104100	22.231943
1704105000	21.934417
1704105900	21.628697
1704106800	21.316095
1704107700	20.997952
1704108600	20.675631
1704109500	20.350516
1704110400	20.024000
1704111300	19.697484
1704112200	19.372369
1704113100	19.050048
1704114000	18.731905
1704114900	18.419303
1704115800	18.113583
1704116700	17.816057
1704117600	17.528000
1704118500	17.250649
1704119400	16.985193
1704120300	16.732771
1704121200	16.494466
1704122100	16.271301
1704123000	16.064233
1704123900	15.874152
1704124800	15.701873
1704125700	15.548136
1704126600	15.413602
1704127500	15.298849
1704128400	15.204371
1704129300	15.130574
1704130200	15.077776
1704131100	15.046205
1704132000	15.036000
1704132900	15.047205
1704133800	15.079776
1704134700	15.133574
1704135600	15.208371
1704136500	15.303849
1704137400	15.419602
1704138300	15.555136
1704139200	15.709873
1704140100	15.883152
1704141000	16.074233
1704141900	16.282301
1704142800	16.506466
1704143700	16.745771
1704144600	16.999193
1704145500	17.265649
1704146400	17.544000
1704147300	17.833057
1704148200	18.131583
1704149100	18.438303
1704150000	18.751905
1704150900	19.071048
1704151800	19.394369
1704152700	19.720484
1704153600	20.048000
1704154500	20.375516
1704155400	20.701631
1704156300	21.024952
1704157200	21.344095
1704158100	21.657697
1704159000	21.964417
1704159900	22.262943
1704160800	22.552000
1704161700	22.830351
1704162600	23.096807
1704163500	23.350229
1704164400	23.589534
1704165300	23.813699
1704166200	24.021767
1704167100	24.212848
1704168000	24.386127
1704168900	24.540864
1704169800	24.676398
1704170700	24.792151
1704171600	24.887629
1704172500	24.962426
1704173400	25.016224
1704174300	25.048795
1704175200	25.060000
1704176100	25.049795
1704177000	25.018224
1704177900	24.965426
1704178800	24.891629
1704179700	24.797151
1704180600	24.682398
1704181500	24.547864
1704182400	24.394127
1704183300	24.221848
1704184200	24.031767
1704185100	23.824699
1704186000	23.601534
1704186900	23.363229
1704187800	23.110807
1704188700	22.845351
1704189600	22.568000
1704190500	22.279943
1704191400	21.982417
1704192300	21.676697
1704193200	21.364095
1704194100	21.045952
1704195000	20.723631
1704195900	20.398516
1704196800	20.072000
1704197700	19.745484
1704198600	19.420369
1704199500	19.098048
1704200400	18.779905
1704201300	18.467303
1704202200	18.161583
1704203100	17.864057
1704204000	17.576000
1704204900	17.298649
1704205800	17.033193
1704206700	16.780771
1704207600	16.542466
1704208500	16.319301
1704209400	16.112233
1704210300	15.922152
1704211200	15.749873
1704212100	15.596136
1704213000	15.461602
1704213900	15.346849
1704214800	15.252371
1704215700	15.178574
1704216600	15.125776
1704217500	15.094205
1704218400	15.084000
1704219300	15.095205
1704220200	15.127776
1704221100	15.181574
1704222000	15.256371
1704222900	15.351849
1704223800	15.467602
1704224700	15.603136
1704225600	15.757873
1704226500	15.931152
1704227400	16.122233
1704228300	16.330301
1704229200	16.554466
1704230100	16.793771
1704231000	17.047193
1704231900	17.313649
1704232800	17.592000
1704233700	17.881057
1704234600	18.179583
1704235500	18.486303
1704236400	18.799905
1704237300	19.119048
1704238200	19.442369
1704239100	19.768484
1704240000	20.096000
1704240900	20.423516
1704241800	20.749631
1704242700	21.072952
1704243600	21.392095
1704244500	21.705697
1704245400	22.012417
1704246300	22.310943
1704247200	22.600000
1704248100	22.878351
1704249000	23.144807
1704249900	23.398229
1704250800	23.637534
1704251700	23.861699
1704252600	24.069767
1704253500	24.260848
1704254400	24.434127
1704255300	24.588864
1704256200	24.724398
1704257100	24.840151
1704258000	24.935629
1704258900	25.010426
1704259800	25.064224
1704260700	25.096795
1704261600	25.108000
1704262500	25.097795
1704263400	25.066224
1704264300	25.013426
1704265200	24.939629
1704266100	24.845151
1704267000	24.730398
1704267900	24.595864
1704268800	24.442127
1704269700	24.269848
1704270600	24.079767
1704271500	23.872699
1704272400	23.649534
1704273300	23.411229
1704274200	23.158807
1704275100	22.893351
1704276000	22.616000
1704276900	22.327943
1704277800	22.030417
1704278700	21.724697
1704279600	21.412095
1704280500	21.093952
1704281400	20.771631
1704282300	20.446516
1704283200	20.120000
1704284100	19.793484
1704285000	19.468369
1704285900	19.146048
1704286800	18.827905
1704287700	18.515303
1704288600	18.209583
1704289500	17.912057
1704290400	17.624000
1704291300	17.346649
1704292200	17.081193
1704293100	16.828771
1704294000	16.590466
1704294900	16.367301
1704295800	16.160233
1704296700	15.970152
1704297600	15.797873
1704298500	15.644136
1704299400	15.509602
1704300300	15.394849
1704301200	15.300371
1704302100	15.226574
1704303000	15.173776
1704303900	15.142205
1704304800	15.132000
1704305700	15.143205
1704306600	15.175776
1704307500	15.229574
1704308400	15.304371
1704309300	15.399849
1704310200	15.515602
1704311100	15.651136
1704312000	15.805873
1704312900	15.979152
1704313800	16.170233
1704314700	16.378301
1704315600	16.602466
1704316500	16.841771
1704317400	17.095193
1704318300	17.361649
1704319200	17.640000
1704320100	17.929057
1704321000	18.227583
1704321900	18.534303
1704322800	18.847905
1704323700	19.167048
1704324600	19.490369
1704325500	19.816484
1704326400	20.144000
1704327300	20.471516
1704328200	20.797631
1704329100	21.120952
1704330000	21.440095
1704330900	21.753697
1704331800	22.060417
1704332700	22.358943
1704333600	22.648000
1704334500	22.926351
1704335400	23.192807
1704336300	23.446229
1704337200	23.685534
1704338100	23.909699
1704339000	24.117767
1704339900	24.308848
1704340800	24.482127
1704341700	24.636864
1704342600	24.772398
1704343500	24.888151
1704344400	24.983629
1704345300	25.058426
1704346200	25.112224
1704347100	25.144795
1704348000	25.156000
1704348900	25.145795
1704349800	25.114224
1704350700	25.061426
1704351600	24.987629
1704352500	24.893151
1704353400	24.778398
1704354300	24.643864
1704355200	24.490127
1704356100	24.317848
1704357000	24.127767
1704357900	23.920699
1704358800	23.697534
1704359700	23.459229
1704360600	23.206807
1704361500	22.941351
1704362400	22.664000
1704363300	22.375943
1704364200	22.078417
1704365100	21.772697
1704366000	21.460095
1704366900	21.141952
1704367800	20.819631
1704368700	20.494516
1704369600	20.168000
1704370500	19.841484
1704371400	19.516369
1704372300	19.194048
1704373200	18.875905
1704374100	18.563303
1704375000	18.257583
1704375900	17.960057
1704376800	17.672000
1704377700	17.394649
1704378600	17.129193
1704379500	16.876771
1704380400	16.638466
1704381300	16.415301
1704382200	16.208233
1704383100	16.018152
1704384000	15.845873
1704384900	15.692136
1704385800	15.557602
1704386700	15.442849
1704387600	15.348371
1704388500	15.274574
1704389400	15.221776
1704390300	15.190205
1704391200	15.180000
1704392100	15.191205
1704393000	15.223776
1704393900	15.277574
1704394800	15.352371
1704395700	15.447849
1704396600	15.563602
1704397500	15.699136
1704398400	15.853873
1704399300	16.027152
1704400200	16.218233
1704401100	16.426301
1704402000	16.650466
1704402900	16.889771
1704403800	17.143193
1704404700	17.409649
1704405600	17.688000
1704406500	17.977057
1704407400	18.275583
1704408300	18.582303
1704409200	18.895905
1704410100	19.215048
1704411000	19.538369
1704411900	19.864484
1704412800	20.192000
1704413700	20.519516
1704414600	20.845631
1704415500	21.168952
1704416400	21.488095
1704417300	21.801697
1704418200	22.108417
1704419100	22.406943
1704420000	22.696000
1704420900	22.974351
1704421800	23.240807
1704422700	23.494229
1704423600	23.733534
1704424500	23.957699
1704425400	24.165767
1704426300	24.356848
1704427200	24.530127
1704428100	24.684864
1704429000	24.820398
1704429900	24.936151
1704430800	25.031629
1704431700	25.106426
1704432600	25.160224
1704433500	25.192795
1704434400	25.204000
1704435300	25.193795
1704436200	25.162224
1704437100	25.109426
1704438000	25.035629
1704438900	24.941151
1704439800	24.826398
1704440700	24.691864
1704441600	24.538127
1704442500	24.365848
1704443400	24.175767
1704444300	23.968699
1704445200	23.745534
1704446100	23.507229
1704447000	23.254807
1704447900	22.989351
1704448800	22.712000
1704449700	22.423943
1704450600	22.126417
1704451500	21.820697
1704452400	21.508095
1704453300	21.189952
1704454200	20.867631
1704455100	20.542516
1704456000	20.216000
1704456900	19.889484
1704457800	19.564369
1704458700	19.242048
1704459600	18.923905
1704460500	18.611303
1704461400	18.305583
1704462300	18.008057
1704463200	17.720000
1704464100	17.442649
1704465000	17.177193
1704465900	16.924771
1704466800	16.686466
1704467700	16.463301
1704468600	16.256233
1704469500	16.066152
1704470400	15.893873
1704471300	15.740136
1704472200	15.605602
1704473100	15.490849
1704474000	15.396371
1704474900	15.322574
1704475800	15.269776
1704476700	15.238205
1704477600	15.228000
1704478500	15.239205
1704479400	15.271776
1704480300	15.325574
1704481200	15.400371
1704482100	15.495849
1704483000	15.611602
1704483900	15.747136
1704484800	15.901873
1704485700	16.075152
1704486600	16.266233
1704487500	16.474301
1704488400	16.698466
1704489300	16.937771
1704490200	17.191193
1704491100	17.457649
1704492000	17.736000
1704492900	18.025057
1704493800	18.323583
1704494700	18.630303
1704495600	18.943905
1704496500	19.263048
1704497400	19.586369
1704498300	19.912484
1704499200	20.240000
1704500100	20.567516
1704501000	20.893631
1704501900	21.216952
1704502800	21.536095
1704503700	21.849697
1704504600	22.156417
1704505500	22.454943
1704506400	22.744000
1704507300	23.022351
1704508200	23.288807
1704509100	23.542229
1704510000	23.781534
1704510900	24.005699
1704511800	24.213767
1704512700	24.404848
1704513600	24.578127
1704514500	24.732864
1704515400	24.868398
1704516300	24.984151
1704517200	25.079629
1704518100	25.154426
1704519000	25.208224
1704519900	25.240795
1704520800	25.252000
1704521700	25.241795
1704522600	25.210224
1704523500	25.157426
1704524400	25.083629
1704525300	24.989151
1704526200	24.874398
1704527100	24.739864
1704528000	24.586127
1704528900	24.413848
1704529800	24.223767
1704530700	24.016699
1704531600	23.793534
1704532500	23.555229
1704533400	23.302807
1704534300	23.037351
1704535200	22.760000
1704536100	22.471943
1704537000	22.174417
1704537900	21.868697
1704538800	21.556095
1704539700	21.237952
1704540600	20.915631
1704541500	20.590516
1704542400	20.264000
1704543300	19.937484
1704544200	19.612369
1704545100	19.290048
1704546000	18.971905
1704546900	18.659303
1704547800	18.353583
1704548700	18.056057
1704549600	17.768000
1704550500	17.490649
1704551400	17.225193
1704552300	16.972771
1704553200	16.734466
1704554100	16.511301
1704555000	16.304233
1704555900	16.114152
1704556800	15.941873
1704557700	15.788136
1704558600	15.653602
1704559500	15.538849
1704560400	15.444371
1704561300	15.370574
1704562200	15.317776
1704563100	15.286205
1704564000	15.276000
1704564900	15.287205
1704565800	15.319776
1704566700	15.373574
1704567600	15.448371
1704568500	15.543849
1704569400	15.659602
1704570300	15.795136
1704571200	15.949873
1704572100	16.123152
1704573000	16.314233
1704573900	16.522301
1704574800	16.746466
1704575700	16.985771
1704576600	17.239193
1704577500	17.505649
1704578400	17.784000
1704579300	18.073057
1704580200	18.371583
1704581100	18.678303
1704582000	18.991905
1704582900	19.311048
1704583800	19.634369
1704584700	19.960484
1704585600	20.288000
1704586500	20.615516
1704587400	20.941631
1704588300	21.264952
1704589200	21.584095
1704590100	21.897697
