summary,target,sentiment
the pump vibrates hard,0,2
the filter stays cool,1,3
the rotor leaks slowly,0,0
the filter vibrates hard,0,0
the filter leaks slowly,0,0
the valve stays cool,1,0
the pump runs quiet,1,3
the pump vibrates hard,0,0
the intake leaks slowly,0,1
the filter stays cool,1,3
the pump vibrates hard,0,0
the filter holds pressure,1,0
the pump runs quiet,1,1
the filter stays cool,1,3
the pump holds pressure,1,2
the pump stays cool,1,3
the filter vibrates hard,0,1
the filter stays cool,1,2
the rotor runs quiet,1,1
the filter leaks slowly,0,
the intake holds pressure,1,3
the pump leaks slowly,0,3
the rotor leaks slowly,0,0
the intake stays cool,1,2
the pump leaks slowly,0,1
the valve stays cool,1,1
the valve holds pressure,1,0
the filter leaks slowly,0,3
the filter holds pressure,1,3
the filter holds pressure,1,3
the pump holds pressure,1,0
the valve leaks slowly,0,1
the rotor leaks slowly,0,1
the rotor leaks slowly,0,0
the valve stays cool,1,2
the intake stays cool,1,1
the valve stays cool,1,3
the filter runs quiet,1,0
the pump leaks slowly,0,
the intake leaks slowly,0,3
the pump runs quiet,1,0
the rotor holds pressure,1,2
the filter leaks slowly,0,0
the rotor holds pressure,1,2
the rotor runs quiet,1,1
the intake stays cool,1,3
the rotor leaks slowly,0,3
the rotor runs quiet,1,3
the filter holds pressure,1,1
the intake vibrates hard,0,3
the intake vibrates hard,0,1
the rotor runs quiet,1,1
the valve runs quiet,1,1
the pump leaks slowly,0,3
the pump leaks slowly,0,0
the filter leaks slowly,0,2
the filter leaks slowly,0,2
the valve vibrates hard,0,2
the intake holds pressure,1,0
the rotor leaks slowly,0,3
the intake holds pressure,1,2
the filter leaks slowly,0,1
the valve stays cool,1,1
the intake runs quiet,1,0
the intake runs quiet,1,3
the intake leaks slowly,0,1
the valve leaks slowly,0,3
the valve holds pressure,1,2
the intake runs quiet,1,2
the valve holds pressure,1,0
the rotor leaks slowly,0,3
the filter runs quiet,1,3
the pump holds pressure,1,3
the intake vibrates hard,0,1
the pump runs quiet,1,2
the intake holds pressure,1,2
the rotor vibrates hard,0,0
the pump leaks slowly,0,1
the valve holds pressure,1,3
the rotor leaks slowly,0,1
the intake runs quiet,1,0
the valve runs quiet,1,0
the filter leaks slowly,0,0
the filter vibrates hard,0,3
the valve vibrates hard,0,3
the rotor vibrates hard,0,0
the intake stays cool,1,2
the pump stays cool,1,3
the intake vibrates hard,0,3
the intake leaks slowly,0,1
the valve vibrates hard,0,3
the filter vibrates hard,0,
the intake vibrates hard,0,1
the rotor stays cool,1,0
the valve leaks slowly,0,1
the pump stays cool,1,1
the rotor vibrates hard,0,1
