input	target
Sample 20000: the engine responds under load.	1
Sample 20001: the sensor diverges after training.	0
Sample 20002: the compiler learns after training.	1
Sample 20003: the kernel lags after training.	0
Sample 20004: the model works on device.	1
Sample 20005: the dataset fails on device.	0
Sample 20006: the device converges on device.	1
Sample 20007: the signal drifts during testing.	0
Sample 20008: the engine improves during testing.	1
"Sample 20009: the sensor stalls during testing. It says, ""check input, then retry."""	0
Sample 20010: the compiler passes with new data.	1
Sample 20011: the kernel breaks with new data.	0
Sample 20012: the model responds with new data.	1
Sample 20013: the dataset diverges at night.	0
Sample 20014: the device learns at night.	1
Sample 20015: the signal lags at night.	0
Sample 20016: the engine works under load.	1
Sample 20017: the sensor fails under load.	0
Sample 20018: the compiler converges under load.	1
Sample 20019: the kernel drifts after training.	0
Sample 20020: the model improves after training.	1
Sample 20021: the dataset stalls after training.	0
Sample 20022: the device passes on device.	1
Sample 20023: the signal breaks on device.	0
Sample 20024: the engine responds on device.	1
Sample 20025: the sensor diverges during testing.	0
"Sample 20026: the compiler learns during testing. It says, ""check input, then retry."""	1
Sample 20027: the kernel lags during testing.	0
Sample 20028: the model works with new data.	1
Sample 20029: the dataset fails with new data.	0
Sample 20030: the device converges with new data.	1
Sample 20031: the signal drifts at night.	0
Sample 20032: the engine improves at night.	1
Sample 20033: the sensor stalls at night.	0
Sample 20034: the compiler passes under load.	1
Sample 20035: the kernel breaks under load.	0
Sample 20036: the model responds under load.	1
Sample 20037: the dataset diverges after training.	0
Sample 20038: the device learns after training.	1
Sample 20039: the signal lags after training.	0
Sample 20040: the engine works on device.	1
Sample 20041: the sensor fails on device.	0
Sample 20042: the compiler converges on device.	1
"Sample 20043: the kernel drifts during testing. It says, ""check input, then retry."""	0
Sample 20044: the model improves during testing.	1
Sample 20045: the dataset stalls during testing.	0
Sample 20046: the device passes with new data.	1
Sample 20047: the signal breaks with new data.	0
Sample 20048: the engine responds with new data.	1
Sample 20049: the sensor diverges at night.	0
Sample 20050: the compiler learns at night.	1
Sample 20051: the kernel lags at night.	0
Sample 20052: the model works under load.	1
Sample 20053: the dataset fails under load.	0
Sample 20054: the device converges under load.	1
Sample 20055: the signal drifts after training.	0
Sample 20056: the engine improves after training.	1
Sample 20057: the sensor stalls after training.	0
Sample 20058: the compiler passes on device.	1
Sample 20059: the kernel breaks on device.	0
"Sample 20060: the model responds on device. It says, ""check input, then retry."""	1
Sample 20061: the dataset diverges during testing.	0
Sample 20062: the device learns during testing.	1
Sample 20063: the signal lags during testing.	0
Sample 20064: the engine works with new data.	1
Sample 20065: the sensor fails with new data.	0
Sample 20066: the compiler converges with new data.	1
Sample 20067: the kernel drifts at night.	0
Sample 20068: the model improves at night.	1
Sample 20069: the dataset stalls at night.	0
Sample 20070: the device passes under load.	1
Sample 20071: the signal breaks under load.	0
Sample 20072: the engine responds under load.	1
Sample 20073: the sensor diverges after training.	0
Sample 20074: the compiler learns after training.	1
Sample 20075: the kernel lags after training.	0
Sample 20076: the model works on device.	1
"Sample 20077: the dataset fails on device. It says, ""check input, then retry."""	0
Sample 20078: the device converges on device.	1
Sample 20079: the signal drifts during testing.	0
Sample 20080: the engine improves during testing.	1
Sample 20081: the sensor stalls during testing.	0
Sample 20082: the compiler passes with new data.	1
Sample 20083: the kernel breaks with new data.	0
Sample 20084: the model responds with new data.	1
Sample 20085: the dataset diverges at night.	0
Sample 20086: the device learns at night.	1
Sample 20087: the signal lags at night.	0
Sample 20088: the engine works under load.	1
Sample 20089: the sensor fails under load.	0
Sample 20090: the compiler converges under load.	1
Sample 20091: the kernel drifts after training.	0
Sample 20092: the model improves after training.	1
Sample 20093: the dataset stalls after training.	0
"Sample 20094: the device passes on device. It says, ""check input, then retry."""	1
Sample 20095: the signal breaks on device.	0
Sample 20096: the engine responds on device.	1
Sample 20097: the sensor diverges during testing.	0
Sample 20098: the compiler learns during testing.	1
Sample 20099: the kernel lags during testing.	0
Sample 20100: the model works with new data.	1
Sample 20101: the dataset fails with new data.	0
Sample 20102: the device converges with new data.	1
Sample 20103: the signal drifts at night.	0
Sample 20104: the engine improves at night.	1
Sample 20105: the sensor stalls at night.	0
Sample 20106: the compiler passes under load.	1
Sample 20107: the kernel breaks under load.	0
Sample 20108: the model responds under load.	1
Sample 20109: the dataset diverges after training.	0
Sample 20110: the device learns after training.	1
"Sample 20111: the signal lags after training. It says, ""check input, then retry."""	0
Sample 20112: the engine works on device.	1
Sample 20113: the sensor fails on device.	0
Sample 20114: the compiler converges on device.	1
Sample 20115: the kernel drifts during testing.	0
Sample 20116: the model improves during testing.	1
Sample 20117: the dataset stalls during testing.	0
Sample 20118: the device passes with new data.	1
Sample 20119: the signal breaks with new data.	0
Sample 20120: the engine responds with new data.	1
Sample 20121: the sensor diverges at night.	0
Sample 20122: the compiler learns at night.	1
Sample 20123: the kernel lags at night.	0
Sample 20124: the model works under load.	1
Sample 20125: the dataset fails under load.	0
Sample 20126: the device converges under load.	1
Sample 20127: the signal drifts after training.	0
"Sample 20128: the engine improves after training. It says, ""check input, then retry."""	1
Sample 20129: the sensor stalls after training.	0
Sample 20130: the compiler passes on device.	1
Sample 20131: the kernel breaks on device.	0
Sample 20132: the model responds on device.	1
Sample 20133: the dataset diverges during testing.	0
Sample 20134: the device learns during testing.	1
Sample 20135: the signal lags during testing.	0
Sample 20136: the engine works with new data.	1
Sample 20137: the sensor fails with new data.	0
Sample 20138: the compiler converges with new data.	1
Sample 20139: the kernel drifts at night.	0
Sample 20140: the model improves at night.	1
Sample 20141: the dataset stalls at night.	0
Sample 20142: the device passes under load.	1
Sample 20143: the signal breaks under load.	0
Sample 20144: the engine responds under load.	1
"Sample 20145: the sensor diverges after training. It says, ""check input, then retry."""	0
Sample 20146: the compiler learns after training.	1
Sample 20147: the kernel lags after training.	0
Sample 20148: the model works on device.	1
Sample 20149: the dataset fails on device.	0
Sample 20150: the device converges on device.	1
Sample 20151: the signal drifts during testing.	0
Sample 20152: the engine improves during testing.	1
Sample 20153: the sensor stalls during testing.	0
Sample 20154: the compiler passes with new data.	1
Sample 20155: the kernel breaks with new data.	0
Sample 20156: the model responds with new data.	1
Sample 20157: the dataset diverges at night.	0
Sample 20158: the device learns at night.	1
Sample 20159: the signal lags at night.	0
Sample 20160: the engine works under load.	1
Sample 20161: the sensor fails under load.	0
"Sample 20162: the compiler converges under load. It says, ""check input, then retry."""	1
Sample 20163: the kernel drifts after training.	0
Sample 20164: the model improves after training.	1
Sample 20165: the dataset stalls after training.	0
Sample 20166: the device passes on device.	1
Sample 20167: the signal breaks on device.	0
Sample 20168: the engine responds on device.	1
Sample 20169: the sensor diverges during testing.	0
Sample 20170: the compiler learns during testing.	1
Sample 20171: the kernel lags during testing.	0
Sample 20172: the model works with new data.	1
Sample 20173: the dataset fails with new data.	0
Sample 20174: the device converges with new data.	1
Sample 20175: the signal drifts at night.	0
Sample 20176: the engine improves at night.	1
Sample 20177: the sensor stalls at night.	0
Sample 20178: the compiler passes under load.	1
